zc..,alpha_c..,beita_c..,zb1..,alpha_b1..,zb2..,alpha_b2..,F1,F2,F3,F4,zc,zc.,zb1,zb1.,zb2,zb2.
-1.095118403,-0.1222758,0.090854123,-0.938487828,0.09126395,-0.216296256,0.207541063,-7511.955566,-5349.48877,-3825.918945,-6564.55957,5.041650295,-0.026044903,2.048743963,0.012397286,2.016708851,-0.011037775
-0.995221138,-0.094000459,0.109274842,-0.437258482,0.074835695,0.304244161,0.246712878,-6875.964355,-4560.986328,-2928.678711,-5686.522461,5.041336536,-0.036528565,2.048831224,0.005801738,2.016597986,-0.010319519
-0.867396295,-0.061285578,0.12230701,-0.318609953,0.056804132,0.444631904,0.279067248,-6300.220703,-3838.343994,-2154.303223,-4904.82373,5.040923595,-0.045852292,2.048870802,0.002284267,2.016513824,-0.006310962
-0.736126721,-0.026163399,0.130764052,-0.414114326,0.036943503,0.360321105,0.303626686,-5806.67041,-3209.085938,-1526.003052,-4246.685059,5.04042387,-0.053866327,2.048876286,-0.001319469,2.016471863,-0.002212535
-0.611083865,0.009338415,0.134918138,-0.476670653,0.015034733,0.285431772,0.319421381,-5296.162109,-2579.273926,-950.2923584,-3622.977539,5.039850712,-0.060597967,2.048840761,-0.005867593,2.016466141,0.000943553
-0.487892568,0.043237768,0.134700283,-0.392011404,-0.009133941,0.327913374,0.325488865,-4677.474121,-1862.407104,-340.3014832,-2951.462891,5.039216518,-0.066094756,2.048759222,-0.010325746,2.016489983,0.003919114
-0.354442358,0.158725649,0.149672419,-0.639580429,-0.059381265,1.137916923,0.268176258,-4313.763672,-1322.023315,733.2053223,-1590.618774,5.038533211,-0.070321888,2.048633814,-0.015241531,2.016556501,0.010777759
-0.204556346,0.174230084,0.187310576,-0.468934327,-0.123572879,1.294940591,0.189595103,-3650.013428,-613.8872681,1684.180542,-532.5612183,5.037815094,-0.07312464,2.048450232,-0.021201437,2.016727448,0.023666257
-0.051604453,0.171806723,0.192682028,0.069981791,-0.191914991,0.762564063,0.092090413,-2573.360107,431.2583313,2145.381104,-51.86909866,5.037075996,-0.074402958,2.048223495,-0.023336325,2.017021179,0.034258876
0.094751284,0.151424497,0.14767094,0.633613706,-0.257169694,0.111768015,-0.006994065,-1269.332031,1657.143066,2301.292969,85.90211487,5.03633213,-0.074180469,2.048003674,-0.0197333,2.017390251,0.038532659
0.232509658,0.114212103,0.067993425,1.022520185,-0.317516953,-0.290697634,-0.104786783,62.91436768,2869.156494,2426.926025,156.1503296,5.035597324,-0.072538152,2.047845602,-0.011289339,2.017772913,0.037392065
0.363595963,0.062107898,-0.020221228,1.215281606,-0.370725006,-0.407100469,-0.197686568,1301.736938,3952.14624,2667.404297,306.6957703,5.034885883,-0.069553278,2.047787905,2.69667E-05,2.018129349,0.033730429
0.489088416,-0.002210935,-0.098793849,1.288843393,-0.414550662,-0.390807152,-0.282078177,2413.485107,4880.51416,3015.280029,534.6945801,5.034210682,-0.065285295,2.04785037,0.01260321,2.018446445,0.029708991
0.607248485,-0.07542716,-0.162437052,1.324461937,-0.446746677,-0.397072345,-0.354342371,3409.223633,5674.655273,3390.647461,766.5719604,5.033584595,-0.059796724,2.048041582,0.025677694,2.018724203,0.02582478
0.722571492,-0.305988103,-0.22754164,2.519570827,-0.113494754,-0.740878284,0.058554109,5240.688477,7010.145996,3737.937256,581.0146484,5.033018589,-0.053163093,2.048370361,0.041842252,2.018960238,0.020871496
0.869926155,-0.38444978,-0.355164438,3.424849987,-0.359257132,-1.131559253,-0.307429552,7181.774414,8730.245117,3778.882324,418.7271118,5.032526016,-0.045210239,2.04894042,0.073570609,2.019123316,0.011152955
0.994471312,-0.427539051,-0.451735824,2.224276543,-0.247751862,-1.090309381,-0.19925949,7573.202148,9004.78125,4040.955566,595.7842407,5.032119751,-0.035847239,2.049832106,0.10290058,2.019177675,-0.000241193
1.05227983,-0.442549437,-0.452703863,0.395237356,-0.133312613,-0.779291809,-0.087443307,6810.105469,8189.51709,4519.823242,1056.397827,5.031812191,-0.025557136,2.050940514,0.115924679,2.019125462,-0.00971172
1.043426752,-0.428966612,-0.367094547,-0.920488775,-0.013886606,-0.41992712,0.031512767,5603.987305,6997.31543,5043.61084,1630.791504,5.031609058,-0.015034993,2.052093506,0.112686448,2.018995762,-0.015664753
0.989830613,-0.387363106,-0.239981785,-1.470042586,0.106933542,-0.185187593,0.153777167,4410.463379,5882.026367,5420.010742,2125.601563,5.031510353,-0.004843046,2.053162336,0.100235552,2.018822908,-0.018555639
0.909153461,-0.319495857,-0.111826874,-1.605644703,0.225553766,-0.127712771,0.275522739,3289.346924,4898.911621,5528.747559,2416.772705,5.031509876,0.004669387,2.054088116,0.084725045,2.018629551,-0.019995505
0.804889321,-0.228194386,-5.23003E-05,-1.753504515,0.33836484,-0.186621934,0.392907023,2087.45752,3887.701416,5349.437012,2477.635986,5.031600475,0.013259191,2.054853201,0.068051234,2.018422604,-0.021517742
0.670845866,-0.083393104,0.098240331,-2.320975542,2.26321435,-0.250003427,2.243925333,447.4898987,2635.167725,4861.306152,2425.53833,5.031771183,0.020665985,2.055440426,0.048680525,2.018196583,-0.023759397
0.464219183,0.116294779,0.233381599,-4.194717407,0.469958305,-0.184160605,0.539896488,-2477.516113,69.18571472,4261.419434,2241.201904,5.032008171,0.026407002,2.055770397,0.014486131,2.017947435,-0.025967307
0.209152937,0.23514691,0.375689983,-4.133006096,0.466207474,-0.087689891,0.546960592,-4468.534668,-1664.083374,3513.241455,1819.599854,5.032290936,0.029782817,2.055700541,-0.028377421,2.017680407,-0.027319148
-0.033477187,0.344133407,0.462649822,-3.092028856,0.454229295,-0.058956306,0.545767486,-5558.35498,-2536.483154,2555.30127,1158.26416,5.032594681,0.03063803,2.055226564,-0.064773649,2.017403841,-0.027961709
-0.244134977,0.439822555,0.481869608,-2.164199114,0.431054294,-0.156300321,0.533104658,-6240.792969,-3038.258301,1394.13562,267.5438538,5.032896042,0.029227523,2.054442167,-0.090685718,2.017119884,-0.028949529
-0.434724748,0.519339323,0.455738634,-1.805373549,0.397707015,-0.319587469,0.509569705,-6937.045898,-3597.623535,109.2472992,-779.4983521,5.033172607,0.025825184,2.053435564,-0.110098206,2.016819954,-0.031321775
-0.621449947,0.580499709,0.413011551,-1.852777481,0.355194211,-0.438975602,0.47574538,-7754.249023,-4327.029297,-1184.883911,-1873.328247,5.033405781,0.020544896,2.052244425,-0.128221422,2.016488314,-0.0351828
-0.807813168,0.621803403,0.370408744,-1.936182857,0.304543525,-0.456273705,0.432235271,-8563.125,-5100.789063,-2395.606445,-2924.753418,5.033576965,0.013396055,2.050867558,-0.147261053,2.016113758,-0.039737847
-0.984835744,0.642403543,0.330175698,-1.822210789,0.24679707,-0.396442086,0.379657418,-9190.892578,-5748.044922,-3482.185059,-3895.103027,5.033667564,0.004420697,2.04929924,-0.16623573,2.01569438,-0.044036675
-1.155531049,0.683193028,0.296768397,-2.229756117,0.162367269,-0.5075109,0.30238831,-10145.86328,-6691.341797,-4621.79834,-4893.347656,5.033659458,-0.006269999,2.04754138,-0.186159909,2.01523304,-0.048438869
-1.321597815,0.657571793,0.269297004,-1.822428942,0.068023063,-0.437590718,0.212137938,-10548.4082,-7211.611816,-5548.898438,-5786.034668,5.033535957,-0.018678285,2.045571327,-0.207201689,2.014723778,-0.053345166
-1.438506007,0.60680145,0.22074233,-0.757171273,-0.032468978,-0.235757917,0.1132586,-10182.71484,-7049.756836,-6211.670898,-6485.054199,5.033280849,-0.032528114,2.04342556,-0.220311806,2.014171839,-0.056729693
-1.488229156,0.532807112,0.145181507,0.274798185,-0.131010786,-0.088723168,0.011785813,-9354.237305,-6484.907715,-6667.249512,-7026.401855,5.03288269,-0.047212634,2.041203499,-0.222503394,2.013595581,-0.05826636
-1.478863001,0.438347995,0.053841535,0.937143266,-0.224997133,-0.051582675,-0.090371497,-8353.649414,-5800.310059,-6940.608887,-7429.635742,5.032335758,-0.062087201,2.03900528,-0.216141254,2.013009548,-0.058898639
